0x008;Zones Visited;List of visited zones?
0x06F;Self Synth Result;Results of an attempted synthesis process by yourself.
0x070;Others Synth Result;Results of an attempted synthesis process by others.
0x071;Campaign Map Info;Populates the Campaign map.
0x075;Unity Start;Creates the timer and glowing fence that accompanies Unity fights.
0x076;Party Buffs;Packet updated every time a party member\'s buffs change.
0x078;Proposal;Carries proposal information from a /propose or /nominate command.
0x079;Proposal Update;Proposal update following a /vote command.
0x082;Guild Buy Response;Buy an item from a guild.
0x083;Guild Inv List;Provides the items, prices, and counts for guild inventories.
0x084;Guild Sell Response;Sell an item to a guild.
0x085;Guild Sale List;Provides the items, prices, and counts for guild inventories.
0x086;Guild Open;Sent to update the current guild status or open the guild buy/sell menu.
0x08C;Merits;Contains all merit information. 3 packets are sent.
0x08D;Job Points;Contains all job point information. 12 packets are sent.
0x0A0;Party Map Marker;Marks where players are on your map.
0x0AA;Spell List;Packet that shows the spells that you know.
0x0AC;Ability List;Packet that shows your current abilities and traits.
0x0AE;Mount List;Packet that shows your current mounts.
0x0B4;Seek AnonResp;Server response sent after you put up party or anon flag.
0x0B5;Help Desk Open;Sent when you open the Help Desk submenu.
0x0BF;Reservation Response;Sent to inform the client about the status of entry to an instanced area.
0x0C8;Party Struct Update;Updates all party member info in one struct. No player vital data (HP/MP/TP) or names are sent here.
0x0C9;Player Check Response;Shows another player your equipment after using the Check command.
0x0CA;Bazaar Message;Shows another players bazaar message after using the Check command or sets your own on zoning.
0x0CC;Linkshell Message;/lsmes text and headers.
0x0D2;Found Item;This command shows an item found on defeated mob or from a Treasure Chest.
0x0D3;Lot/drop item;Sent when someone casts a lot on an item or when the item drops to someone.
0x0DC;Party Invite;Party Invite packet.
0x0DD;Party Member Update;Alliance/party member info - zone, HP%, HP% etc.
0x0DE;Mog House Related?;Related to opening/closing mog house ?
0x0DF;Char Update;A packet sent from server which updates character HP, MP and TP.
0x0E0;Linkshell Equip;Updates your linkshell menu with the current linkshell.
0x0E1;Party Member List;Sent when you look at the party member list.
0x0E2;Char Info;Sends name, HP, HP%, etc.
0x0E8;Toggle Heal;Toggle Heal info ?
0x0F4;Widescan Mob;Displays one monster.
0x0F5;Widescan Track;Updates information when tracking a monster.
0x0F6;Widescan List Mark;Marks the start and ending of a widescan list.
0x0F9;Reraise Activation;Reassigns targetable status on reraise activation?
0x0FA;Furniture Interact;Confirms furniture manipulation.
0x105;Bazaar Item Listing;The data that is sent to the client when it is "Downloading data...".
0x106;Bazaar Seller Info;Information on the purchase sent to the buyer when they attempt to buy something.
0x107;Bazaar closed;Tells you when a bazaar you are currently in has closed.
0x108;Bazaar visitor;The data that is sent to the client when it is "Downloading data...".
0x109;Bazaar Purchase Info;Information on the purchase sent to the buyer when the purchase is successful.
0x10A;Bazaar Buyer Info;Information on the purchase sent to the seller when a sale is successful.
0x10B;Bazaar Open Packet;Packet sent when you open your bazaar
0x110;Sparks Update;Occurs when you sparks increase and generates the related message.
0x111;Eminence Update;Causes Records of Eminence messages.
0x112;RoE Quest Log;Updates your RoE quest log on zone and when appropriate.
0x113;Currency Info;Contains all currencies to be displayed in the currency menu.
0x115;Fish Bite Info;Contains information about the fish that you hooked.
0x116;Equipset Build Response;Returned from the server when building a set.
0x117;Equipset Response;Returned from the server after the /equipset command.
0x118;Currency 2 Info;Contains all currencies to be displayed in the currency menu.
0x119;Ability Recasts;Contains the currently available job abilities and their remaining recast times.

